strategy,pair,total_return,sharpe_ratio,max_drawdown,win_rate,trades,fast_window,slow_window,strategy_name,rsi_window,bb_window,short_window,long_window
MA Crossover,BERABTC,-95.03612597896903,-27.287516163813503,95.78777822792478,15.068493150684931,220,,,MACrossover,,,25.0,100.0
SMA Crossover,BICOBTC,-98.74356606342273,-61.676704010140206,98.74356606342273,6.521739130434782,322,15.0,40.0,SMACrossover,,,,
RSI with BB,BICOBTC,-7.844468843701648,-0.7261799697076935,32.12850177347141,43.269230769230774,209,,,RSIWithBB,14.0,20.0,,
MA Crossover,BICOBTC,-94.25079467372113,-45.55533504706741,94.2507946737211,10.50228310502283,219,,,MACrossover,,,25.0,100.0
SMA Crossover,BNBBTC,-99.84680806317571,-102.71122111041417,99.84680806317569,3.068592057761733,554,15.0,40.0,SMACrossover,,,,
RSI with BB,BNBBTC,-29.892637352375946,-8.489407641228125,38.10991040955389,36.507936507936506,127,,,RSIWithBB,14.0,20.0,,
MA Crossover,BNBBTC,-95.38757766678722,-62.50836108027047,95.4001491808212,7.2796934865900385,262,,,MACrossover,,,25.0,100.0
SMA Crossover,CAKEBTC,-99.74060011267231,-49.233327719151,99.74060011267237,11.891891891891893,555,15.0,40.0,SMACrossover,,,,
RSI with BB,CAKEBTC,-63.432259682758875,-8.26618953413893,74.30593890493734,43.32784184514003,608,,,RSIWithBB,14.0,20.0,,
MA Crossover,CAKEBTC,-96.69483432252025,-30.603391325999215,96.69483432252028,12.167300380228136,263,,,MACrossover,,,25.0,100.0
SMA Crossover,CFXBTC,-99.03166126504138,-57.69755058425353,99.06215025214523,7.717041800643088,312,15.0,40.0,SMACrossover,,,,
RSI with BB,CFXBTC,-39.99429707271595,-5.745967846916511,54.04823980403993,45.0261780104712,192,,,RSIWithBB,14.0,20.0,,
MA Crossover,CFXBTC,-96.64629582306377,-46.489125021845,96.6514370088108,7.87037037037037,216,,,MACrossover,,,25.0,100.0
SMA Crossover,COTIBTC,-99.22887428832642,-46.99560754348068,99.24376722527526,8.421052631578947,285,15.0,40.0,SMACrossover,,,,
RSI with BB,COTIBTC,-59.22739565624641,-8.862864175978649,67.03143804025868,32.7217125382263,328,,,RSIWithBB,14.0,20.0,,
MA Crossover,COTIBTC,-96.64838326423441,-35.52128061638789,96.75600033731892,9.852216748768473,203,,,MACrossover,,,25.0,100.0
SMA Crossover,CRVBTC,-99.92598303717442,-85.15778050697884,99.92621991177384,6.597222222222222,576,15.0,40.0,SMACrossover,,,,
RSI with BB,CRVBTC,-40.01871720437768,-5.748100023514985,57.03749970017851,42.3728813559322,355,,,RSIWithBB,14.0,20.0,,
MA Crossover,CRVBTC,-96.71098299099603,-47.164840948914744,96.71098299099603,10.18867924528302,266,,,MACrossover,,,25.0,100.0
SMA Crossover,CTKBTC,-99.25167772128714,-55.01978415017989,99.25167772128717,7.936507936507936,378,15.0,40.0,SMACrossover,,,,
RSI with BB,CTKBTC,-55.653934011396885,-9.440761595939097,64.0414817654784,38.46153846153847,248,,,RSIWithBB,14.0,20.0,,
MA Crossover,CTKBTC,-94.57614795705095,-36.80192584316406,94.57614795705089,9.35960591133005,203,,,MACrossover,,,25.0,100.0
SMA Crossover,DASHBTC,-99.93857345763416,-101.98387332237888,99.9387584789863,3.754266211604096,587,15.0,40.0,SMACrossover,,,,
RSI with BB,DASHBTC,-41.91849803623943,-8.453913780992652,53.05028649538826,38.095238095238095,232,,,RSIWithBB,14.0,20.0,,
MA Crossover,DASHBTC,-96.07677594929449,-55.80541643500849,96.07677594929449,7.2796934865900385,262,,,MACrossover,,,25.0,100.0
SMA Crossover,DOGEBTC,-99.99286872754688,-97.2553945935004,99.99286872754688,1.7316017316017316,694,15.0,40.0,SMACrossover,,,,
RSI with BB,DOGEBTC,-40.67103046277499,-4.336603395299004,50.094905139216465,38.72340425531915,236,,,RSIWithBB,14.0,20.0,,
MA Crossover,DOGEBTC,-98.99760985116592,-53.32915319488465,98.99760985116595,3.0395136778115504,330,,,MACrossover,,,25.0,100.0
SMA Crossover,DOTBTC,-99.92962778028728,-95.26679570322784,99.92965683660644,3.9182282793867125,587,15.0,40.0,SMACrossover,,,,
RSI with BB,DOTBTC,-28.120129010780285,-4.3857620628419225,46.148331192131806,40.80717488789238,224,,,RSIWithBB,14.0,20.0,,
MA Crossover,DOTBTC,-96.79557167344169,-54.49196556483377,96.80130410336399,6.934306569343065,275,,,MACrossover,,,25.0,100.0
SMA Crossover,DYDXBTC,-99.87988771126493,-88.63152652819504,99.8806819178795,5.451127819548872,533,15.0,40.0,SMACrossover,,,,
